activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,,Accepted Event Relation,Accepted Event Relations,False,False,False,AcceptedEventRelation,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AcceptedEventRelation/{ID}'), ('describe', '/services/data/v57.0/sobjects/AcceptedEventRelation/describe'), ('sobject', '/services/data/v57.0/sobjects/AcceptedEventRelation')])"
False,,,True,False,False,False,True,False,False,False,False,False,001,Account,Accounts,True,True,True,Account,True,True,True,True,False,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Account/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Account/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Account/describe/approvalLayouts'), ('listviews', '/services/data/v57.0/sobjects/Account/listviews'), ('describe', '/services/data/v57.0/sobjects/Account/describe'), ('quickActions', '/services/data/v57.0/sobjects/Account/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Account/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Account')])"
False,ChangeEvent,Account,False,False,False,False,False,False,False,False,False,False,,Account Change Event,Account Change Event,False,False,False,AccountChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AccountChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AccountChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountChangeEvent')])"
False,,,True,False,False,False,True,False,False,False,False,False,02Z,Account Contact Role,Account Contact Roles,False,False,False,AccountContactRole,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountContactRole/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountContactRole/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountContactRole')])"
False,ChangeEvent,AccountContactRole,False,False,False,False,False,False,False,False,False,False,,Account Contact Role Change Event,Account Contact Role Change Event,False,False,False,AccountContactRoleChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent')])"
False,History,Account,False,False,False,False,False,False,False,False,False,False,,Account History,Account History,False,False,False,AccountHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountHistory')])"
False,,,True,False,False,False,True,False,False,False,False,False,00I,Account Partner,Account Partner,True,False,False,AccountPartner,True,False,True,False,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/AccountPartner/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/AccountPartner/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountPartner/describe'), ('layouts', '/services/data/v57.0/sobjects/AccountPartner/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/AccountPartner')])"
False,Share,Account,True,False,False,False,True,False,False,False,False,False,00r,Account Share,Account Share,False,False,False,AccountShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountShare/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountShare')])"
False,Tag,Account,True,False,False,False,True,False,False,False,False,False,,Account Tag,Account Tag,False,False,False,AccountTag,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountTag/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountTag/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountTag')])"
False,,,False,False,False,False,True,False,False,False,False,False,77C,Cadence,Cadences,True,False,True,ActionCadence,True,True,True,True,False,False,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/ActionCadence/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/ActionCadence/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadence/describe'), ('layouts', '/services/data/v57.0/sobjects/ActionCadence/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ActionCadence')])"
False,ChangeEvent,ActionCadence,False,False,False,False,False,False,False,False,False,False,,Cadence Change Event,Cadence Change Event,False,False,False,ActionCadenceChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/ActionCadenceChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceChangeEvent')])"
False,,,False,False,False,False,False,False,False,False,False,False,1J9,Cadence Rule,Cadence Rules,False,False,False,ActionCadenceRule,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceRule/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceRule/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceRule')])"
False,,,False,False,False,False,False,False,False,False,False,False,0uA,Cadence Rule Condition,Cadence Rule Conditions,False,False,False,ActionCadenceRuleCondition,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceRuleCondition/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceRuleCondition/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceRuleCondition')])"
False,Share,ActionCadence,True,False,False,False,True,False,False,False,False,False,,Cadence Share,Cadence Share,False,False,False,ActionCadenceShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceShare/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceShare')])"
False,,,False,False,False,False,False,False,False,False,False,False,8C8,Cadence Step,Cadence Steps,False,False,False,ActionCadenceStep,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceStep/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceStep/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceStep')])"
False,ChangeEvent,ActionCadenceStep,False,False,False,False,False,False,False,False,False,False,,Cadence Step Change Event,Cadence Step Change Event,False,False,False,ActionCadenceStepChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceStepChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/ActionCadenceStepChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceStepChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceStepChangeEvent')])"
